Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
goianésia do pará,2700.0,2192.0,0.8118518518518518,MU,1503093,105.36,2159.29,goianésia do pará,15.0
gurupá,1761.0,850.0,0.4826802952867688,MU,1503101,16.13,2799.585,gurupá,15.0
gurupá,1761.0,850.0,0.4826802952867688,MU,1503101,23.0,2799.585,gurupá,15.0
gurupá,1761.0,850.0,0.4826802952867688,MU,1503101,110.8,2799.585,gurupá,15.0
igarapé-açu,3886.0,2738.0,0.7045805455481214,MU,1503200,40.18,1889.96,igarapé-açu,15.0
igarapé-açu,3886.0,2738.0,0.7045805455481214,MU,1503200,31.0,1889.96,igarapé-açu,15.0
igarapé-açu,3886.0,2738.0,0.7045805455481214,MU,1503200,98.54,1889.96,igarapé-açu,15.0
igarapé-miri,5010.0,2807.0,0.5602794411177645,MU,1503309,25.04,1802.575,igarapé-miri,15.0
igarapé-miri,5010.0,2807.0,0.5602794411177645,MU,1503309,28.0,1802.575,igarapé-miri,15.0
igarapé-miri,5010.0,2807.0,0.5602794411177645,MU,1503309,105.44,1802.575,igarapé-miri,15.0
inhangapi,997.0,739.0,0.7412236710130391,MU,1503408,32.63,1193.995,inhangapi,15.0
inhangapi,997.0,739.0,0.7412236710130391,MU,1503408,29.0,1193.995,inhangapi,15.0
inhangapi,997.0,739.0,0.7412236710130391,MU,1503408,102.61,1193.995,inhangapi,15.0
ipixuna do pará,2313.0,1671.0,0.7224383916990921,MU,1503457,20.81,1251.125,ipixuna do pará,15.0
ipixuna do pará,2313.0,1671.0,0.7224383916990921,MU,1503457,26.0,1251.125,ipixuna do pará,15.0
ipixuna do pará,2313.0,1671.0,0.7224383916990921,MU,1503457,106.43,1251.125,ipixuna do pará,15.0
irituia,2652.0,2021.0,0.7620663650075414,MU,1503507,37.58,1183.335,irituia,15.0
irituia,2652.0,2021.0,0.7620663650075414,MU,1503507,30.0,1183.335,irituia,15.0
irituia,2652.0,2021.0,0.7620663650075414,MU,1503507,105.76,1183.335,irituia,15.0
itaituba,10945.0,7722.0,0.7055276381909548,MU,1503606,22.74,2523.07,itaituba,15.0
itaituba,10945.0,7722.0,0.7055276381909548,MU,1503606,28.0,2523.07,itaituba,15.0
itaituba,10945.0,7722.0,0.7055276381909548,MU,1503606,102.07,2523.07,itaituba,15.0
itupiranga,3726.0,2784.0,0.7471819645732689,MU,1503705,25.56,1169.635,itupiranga,15.0
itupiranga,3726.0,2784.0,0.7471819645732689,MU,1503705,28.0,1169.635,itupiranga,15.0
itupiranga,3726.0,2784.0,0.7471819645732689,MU,1503705,109.88,1169.635,itupiranga,15.0
jacareacanga,1142.0,671.0,0.5875656742556917,MU,1503754,9.47,2749.755,jacareacanga,15.0
jacareacanga,1142.0,671.0,0.5875656742556917,MU,1503754,20.0,2749.755,jacareacanga,15.0
jacareacanga,1142.0,671.0,0.5875656742556917,MU,1503754,109.39,2749.755,jacareacanga,15.0
