Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
serra do navio,375.0,292.0,0.7786666666666666,MU,1600055,15.53,2125.04,serra do navio,16.0
serra do navio,375.0,292.0,0.7786666666666666,MU,1600055,26.0,2125.04,serra do navio,16.0
serra do navio,375.0,292.0,0.7786666666666666,MU,1600055,106.86,2125.04,serra do navio,16.0
amapá,682.0,352.0,0.5161290322580645,MU,1600105,20.41,2557.29,amapá,16.0
amapá,682.0,352.0,0.5161290322580645,MU,1600105,25.0,2557.29,amapá,16.0
amapá,682.0,352.0,0.5161290322580645,MU,1600105,108.26,2557.29,amapá,16.0
pedra branca do amapari,703.0,473.0,0.6728307254623044,MU,1600154,10.68,1686.255,pedra branca do amapari,16.0
pedra branca do amapari,703.0,473.0,0.6728307254623044,MU,1600154,22.0,1686.255,pedra branca do amapari,16.0
pedra branca do amapari,703.0,473.0,0.6728307254623044,MU,1600154,108.42,1686.255,pedra branca do amapari,16.0
calçoene,833.0,540.0,0.6482593037214885,MU,1600204,16.71,2140.125,calçoene,16.0
calçoene,833.0,540.0,0.6482593037214885,MU,1600204,25.0,2140.125,calçoene,16.0
calçoene,833.0,540.0,0.6482593037214885,MU,1600204,110.64,2140.125,calçoene,16.0
cutias,288.0,180.0,0.625,MU,1600212,16.75,1758.63,cutias,16.0
cutias,288.0,180.0,0.625,MU,1600212,23.0,1758.63,cutias,16.0
cutias,288.0,180.0,0.625,MU,1600212,105.58,1758.63,cutias,16.0
ferreira gomes,479.0,324.0,0.6764091858037579,MU,1600238,17.08,2970.94,ferreira gomes,16.0
ferreira gomes,479.0,324.0,0.6764091858037579,MU,1600238,24.0,2970.94,ferreira gomes,16.0
ferreira gomes,479.0,324.0,0.6764091858037579,MU,1600238,101.51,2970.94,ferreira gomes,16.0
itaubal,392.0,264.0,0.673469387755102,MU,1600253,14.72,2051.155,itaubal,16.0
itaubal,392.0,264.0,0.673469387755102,MU,1600253,23.0,2051.155,itaubal,16.0
itaubal,392.0,264.0,0.673469387755102,MU,1600253,107.29,2051.155,itaubal,16.0
laranjal do jari,3022.0,2082.0,0.6889477167438782,MU,1600279,20.59,1755.315,laranjal do jari,16.0
laranjal do jari,3022.0,2082.0,0.6889477167438782,MU,1600279,26.0,1755.315,laranjal do jari,16.0
laranjal do jari,3022.0,2082.0,0.6889477167438782,MU,1600279,102.84,1755.315,laranjal do jari,16.0
