Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+
Itumbiara (GO),14334.0,12309.0,0.858727501046463,MU,5211503,36.0,3786.395
Itumbiara (GO),14334.0,12309.0,0.858727501046463,MU,5211503,94.64,3786.395
Ivolândia (GO),410.0,388.0,0.9463414634146341,MU,5211602,92.17,3255.79
Ivolândia (GO),410.0,388.0,0.9463414634146341,MU,5211602,43.0,3255.79
Ivolândia (GO),410.0,388.0,0.9463414634146341,MU,5211602,101.57,3255.79
Jandaia (GO),1025.0,913.0,0.8907317073170732,MU,5211701,94.16,3727.9300000000003
Jandaia (GO),1025.0,913.0,0.8907317073170732,MU,5211701,42.0,3727.9300000000003
Jandaia (GO),1025.0,913.0,0.8907317073170732,MU,5211701,102.91,3727.9300000000003
Jaraguá (GO),6015.0,5370.0,0.8927680798004988,MU,5211800,50.43,2482.645
Jaraguá (GO),6015.0,5370.0,0.8927680798004988,MU,5211800,35.0,2482.645
Jaraguá (GO),6015.0,5370.0,0.8927680798004988,MU,5211800,99.44,2482.645
Jataí (GO),12985.0,11332.0,0.8726992683866,MU,5211909,47.66,3297.045
Jataí (GO),12985.0,11332.0,0.8726992683866,MU,5211909,33.0,3297.045
Jataí (GO),12985.0,11332.0,0.8726992683866,MU,5211909,97.4,3297.045
Jaupaci (GO),492.0,424.0,0.8617886178861789,MU,5212006,101.28,1450.415
Jaupaci (GO),492.0,424.0,0.8617886178861789,MU,5212006,43.0,1450.415
Jaupaci (GO),492.0,424.0,0.8617886178861789,MU,5212006,99.86,1450.415
Jesúpolis (GO),289.0,248.0,0.8581314878892734,MU,5212055,75.24,2485.015
Jesúpolis (GO),289.0,248.0,0.8581314878892734,MU,5212055,41.0,2485.015
Jesúpolis (GO),289.0,248.0,0.8581314878892734,MU,5212055,104.92,2485.015
Joviânia (GO),1057.0,950.0,0.8987701040681173,MU,5212105,63.64,2708.81
Joviânia (GO),1057.0,950.0,0.8987701040681173,MU,5212105,36.0,2708.81
