Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+
Cachoeira Dourada (GO),1123.0,1005.0,0.8949243098842387,MU,5204250,80.38,3162.39
Cachoeira Dourada (GO),1123.0,1005.0,0.8949243098842387,MU,5204250,40.0,3162.39
Cachoeira Dourada (GO),1123.0,1005.0,0.8949243098842387,MU,5204250,99.64,3162.39
Caçu (GO),1985.0,1794.0,0.9037783375314862,MU,5204300,72.27,4034.865
Caçu (GO),1985.0,1794.0,0.9037783375314862,MU,5204300,37.0,4034.865
Caçu (GO),1985.0,1794.0,0.9037783375314862,MU,5204300,99.1,4034.865
Caiapônia (GO),2416.0,2159.0,0.8936258278145696,MU,5204409,75.16,3250.24
Caiapônia (GO),2416.0,2159.0,0.8936258278145696,MU,5204409,39.0,3250.24
Caiapônia (GO),2416.0,2159.0,0.8936258278145696,MU,5204409,101.33,3250.24
Caldas Novas (GO),13058.0,11494.0,0.8802266809618624,MU,5204508,43.52,2654.025
Caldas Novas (GO),13058.0,11494.0,0.8802266809618624,MU,5204508,33.0,2654.025
Caldas Novas (GO),13058.0,11494.0,0.8802266809618624,MU,5204508,95.86,2654.025
Caldazinha (GO),530.0,497.0,0.9377358490566038,MU,5204557,61.54,2756.345
Caldazinha (GO),530.0,497.0,0.9377358490566038,MU,5204557,38.0,2756.345
Caldazinha (GO),530.0,497.0,0.9377358490566038,MU,5204557,108.08,2756.345
Campestre de Goiás (GO),500.0,433.0,0.866,MU,5204607,58.41,2867.0150000000003
Campestre de Goiás (GO),500.0,433.0,0.866,MU,5204607,37.0,2867.0150000000003
Campestre de Goiás (GO),500.0,433.0,0.866,MU,5204607,105.64,2867.0150000000003
Campinaçu (GO),530.0,460.0,0.8679245283018868,MU,5204656,62.34,2524.51
Campinaçu (GO),530.0,460.0,0.8679245283018868,MU,5204656,38.0,2524.51
Campinaçu (GO),530.0,460.0,0.8679245283018868,MU,5204656,107.61,2524.51
Campinorte (GO),1670.0,1469.0,0.8796407185628743,MU,5204706,47.86,1803.865
Campinorte (GO),1670.0,1469.0,0.8796407185628743,MU,5204706,34.0,1803.865
Campinorte (GO),1670.0,1469.0,0.8796407185628743,MU,5204706,100.35,1803.865
Campo Alegre de Goiás (GO),854.0,777.0,0.9098360655737705,MU,5204805,44.88,4031.64
Campo Alegre de Goiás (GO),854.0,777.0,0.9098360655737705,MU,5204805,35.0,4031.64
Campo Alegre de Goiás (GO),854.0,777.0,0.9098360655737705,MU,5204805,106.91,4031.64
Campo Limpo de Goiás (GO),792.0,706.0,0.8914141414141414,MU,5204854,35.14,1827.495
Campo Limpo de Goiás (GO),792.0,706.0,0.8914141414141414,MU,5204854,31.0,1827.495
Campo Limpo de Goiás (GO),792.0,706.0,0.8914141414141414,MU,5204854,102.18,1827.495
Campos Belos (GO),1916.0,1603.0,0.8366388308977035,MU,5204904,39.85,2374.39
Campos Belos (GO),1916.0,1603.0,0.8366388308977035,MU,5204904,33.0,2374.39
Campos Belos (GO),1916.0,1603.0,0.8366388308977035,MU,5204904,94.33,2374.39
Campos Verdes (GO),571.0,469.0,0.8213660245183888,MU,5204953,70.75,2244.045
Campos Verdes (GO),571.0,469.0,0.8213660245183888,MU,5204953,40.0,2244.045
Campos Verdes (GO),571.0,469.0,0.8213660245183888,MU,5204953,99.45,2244.045
Carmo do Rio Verde (GO),1412.0,1224.0,0.8668555240793201,MU,5205000,71.81,2175.48
Carmo do Rio Verde (GO),1412.0,1224.0,0.8668555240793201,MU,5205000,38.0,2175.48
Carmo do Rio Verde (GO),1412.0,1224.0,0.8668555240793201,MU,5205000,102.12,2175.48
Castelândia (GO),474.0,442.0,0.9324894514767933,MU,5205059,72.14,4271.875
Castelândia (GO),474.0,442.0,0.9324894514767933,MU,5205059,39.0,4271.875
Castelândia (GO),474.0,442.0,0.9324894514767933,MU,5205059,101.15,4271.875
Catalão (GO),14710.0,12788.0,0.8693405846363018,MU,5205109,47.95,3102.185
Catalão (GO),14710.0,12788.0,0.8693405846363018,MU,5205109,34.0,3102.185
Catalão (GO),14710.0,12788.0,0.8693405846363018,MU,5205109,99.64,3102.185
Caturaí (GO),731.0,654.0,0.8946648426812586,MU,5205208,63.93,2842.65
Caturaí (GO),731.0,654.0,0.8946648426812586,MU,5205208,38.0,2842.65
Caturaí (GO),731.0,654.0,0.8946648426812586,MU,5205208,101.32,2842.65
Cavalcante (GO),1081.0,986.0,0.9121184088806661,MU,5205307,40.92,1623.495
Cavalcante (GO),1081.0,986.0,0.9121184088806661,MU,5205307,32.0,1623.495
Cavalcante (GO),1081.0,986.0,0.9121184088806661,MU,5205307,105.86,1623.495
Ceres (GO),3017.0,2602.0,0.8624461385482267,MU,5205406,72.78,3218.76
Ceres (GO),3017.0,2602.0,0.8624461385482267,MU,5205406,38.0,3218.76
Ceres (GO),3017.0,2602.0,0.8624461385482267,MU,5205406,94.29,3218.76
Cezarina (GO),1208.0,1106.0,0.9155629139072847,MU,5205455,66.38,3005.8050000000003
Cezarina (GO),1208.0,1106.0,0.9155629139072847,MU,5205455,39.0,3005.8050000000003
Cezarina (GO),1208.0,1106.0,0.9155629139072847,MU,5205455,102.96,3005.8050000000003
Chapadão do Céu (GO),1251.0,1086.0,0.86810551558753,MU,5205471,14.05,3231.145
Chapadão do Céu (GO),1251.0,1086.0,0.86810551558753,MU,5205471,29.0,3231.145
Chapadão do Céu (GO),1251.0,1086.0,0.86810551558753,MU,5205471,104.94,3231.145
Cidade Ocidental (GO),9826.0,8539.0,0.869020964787299,MU,5205497,21.14,2417.55
Cidade Ocidental (GO),9826.0,8539.0,0.869020964787299,MU,5205497,30.0,2417.55
Cidade Ocidental (GO),9826.0,8539.0,0.869020964787299,MU,5205497,94.19,2417.55
Cocalzinho de Goiás (GO),2884.0,2503.0,0.8678918169209431,MU,5205513,42.25,1939.545
Cocalzinho de Goiás (GO),2884.0,2503.0,0.8678918169209431,MU,5205513,34.0,1939.545
Cocalzinho de Goiás (GO),2884.0,2503.0,0.8678918169209431,MU,5205513,105.37,1939.545
Colinas do Sul (GO),566.0,467.0,0.8250883392226148,MU,5205521,45.69,1738.2
Colinas do Sul (GO),566.0,467.0,0.8250883392226148,MU,5205521,34.0,1738.2
Colinas do Sul (GO),566.0,467.0,0.8250883392226148,MU,5205521,106.99,1738.2
Córrego do Ouro (GO),429.0,402.0,0.9370629370629371,MU,5205703,124.59,3040.115
Córrego do Ouro (GO),429.0,402.0,0.9370629370629371,MU,5205703,45.0,3040.115
Córrego do Ouro (GO),429.0,402.0,0.9370629370629371,MU,5205703,101.64,3040.115
Corumbá de Goiás (GO),1173.0,1021.0,0.8704177323103154,MU,5205802,67.46,2220.085
Corumbá de Goiás (GO),1173.0,1021.0,0.8704177323103154,MU,5205802,36.0,2220.085
Corumbá de Goiás (GO),1173.0,1021.0,0.8704177323103154,MU,5205802,104.89,2220.085
Corumbaíba (GO),1164.0,1041.0,0.8943298969072165,MU,5205901,62.0,2221.3900000000003
Corumbaíba (GO),1164.0,1041.0,0.8943298969072165,MU,5205901,36.0,2221.3900000000003
Corumbaíba (GO),1164.0,1041.0,0.8943298969072165,MU,5205901,103.69,2221.3900000000003
Cristalina (GO),6734.0,5628.0,0.8357588357588358,MU,5206206,27.87,2698.045
Cristalina (GO),6734.0,5628.0,0.8357588357588358,MU,5206206,30.0,2698.045
Cristalina (GO),6734.0,5628.0,0.8357588357588358,MU,5206206,102.98,2698.045
Cristianópolis (GO),512.0,435.0,0.849609375,MU,5206305,84.98,2877.0699999999997
Cristianópolis (GO),512.0,435.0,0.849609375,MU,5206305,39.0,2877.0699999999997
Cristianópolis (GO),512.0,435.0,0.849609375,MU,5206305,101.03,2877.0699999999997
Crixás (GO),2060.0,1771.0,0.8597087378640776,MU,5206404,50.49,1982.25
Crixás (GO),2060.0,1771.0,0.8597087378640776,MU,5206404,36.0,1982.25
Crixás (GO),2060.0,1771.0,0.8597087378640776,MU,5206404,105.21,1982.25
Cromínia (GO),564.0,535.0,0.9485815602836879,MU,5206503,96.88,2920.98
Cromínia (GO),564.0,535.0,0.9485815602836879,MU,5206503,41.0,2920.98
Cromínia (GO),564.0,535.0,0.9485815602836879,MU,5206503,99.54,2920.98
Cumari (GO),446.0,419.0,0.9394618834080718,MU,5206602,101.98,3089.48
Cumari (GO),446.0,419.0,0.9394618834080718,MU,5206602,42.0,3089.48
Cumari (GO),446.0,419.0,0.9394618834080718,MU,5206602,102.84,3089.48
Damianópolis (GO),532.0,425.0,0.7988721804511278,MU,5206701,57.97,1581.13
Damianópolis (GO),532.0,425.0,0.7988721804511278,MU,5206701,36.0,1581.13
Damianópolis (GO),532.0,425.0,0.7988721804511278,MU,5206701,101.82,1581.13
Damolândia (GO),427.0,359.0,0.8407494145199064,MU,5206800,92.53,1685.165
Damolândia (GO),427.0,359.0,0.8407494145199064,MU,5206800,41.0,1685.165
